frame,time_s,detected,handedness,score,pos_Thumb,pos_ThumbRot,pos_Index,pos_Middle,pos_Ring,pos_Pinky,angle_ThumbFlex,angle_ThumbAbd,angle_Index,angle_Middle,angle_Ring,angle_Pinky
248,2.163,1,Left,0.933,321,321,462,462,409,391,164.69,104.59,139.35,139.62,144.69,146.4
249,2.171,1,Left,0.939,320,320,455,457,405,390,165.39,104.9,140.0,139.5,143.9,144.99
250,2.179,1,Left,0.94,320,320,452,451,396,382,165.48,104.13,139.79,140.43,145.7,146.61
251,2.188,1,Left,0.942,321,321,450,447,391,380,165.73,102.92,139.75,140.17,145.45,145.83
252,2.196,1,Left,0.937,321,321,448,447,391,382,165.17,104.48,139.74,139.7,144.53,145.06
253,2.205,1,Left,0.941,321,321,443,435,378,370,165.15,105.0,140.99,142.77,147.87,148.49
254,2.214,1,Left,0.945,318,318,437,428,373,366,164.58,107.82,141.44,142.57,147.05,147.46
255,2.222,1,Left,0.946,319,319,442,429,373,367,165.5,104.1,139.31,140.89,146.19,146.44
256,2.231,1,Left,0.952,316,316,446,435,380,375,165.15,107.78,139.01,139.79,144.41,144.75
257,2.239,1,Left,0.944,317,317,455,444,389,380,164.97,105.35,137.43,138.45,143.31,144.73
258,2.248,1,Left,0.943,323,323,457,443,386,373,164.68,103.0,138.54,140.26,145.66,147.21
259,2.256,1,Left,0.947,321,321,460,446,389,377,165.07,105.68,138.09,139.13,144.27,145.11
260,2.265,1,Left,0.948,321,321,459,437,378,365,164.96,104.77,138.6,142.1,147.62,148.8
261,2.273,1,Left,0.948,320,320,453,428,368,352,165.27,105.55,140.28,142.72,148.14,150.16
262,2.282,1,Left,0.952,319,319,451,421,361,342,164.91,105.9,139.64,143.1,148.38,150.69
263,2.291,1,Left,0.953,319,319,442,406,346,324,165.44,104.78,141.5,145.8,151.0,153.52
264,2.299,1,Left,0.941,316,316,433,391,333,310,164.86,108.16,142.44,147.02,151.73,153.83
